country	1952	2007	growth
3	28.801	43.828	15.027000000000005
17	50.939	75.635	24.696000000000005
21	37.484	64.062	26.577999999999996
11	39.417	59.723	20.305999999999997
25	44	72.961	28.961
12	60.96	82.208	21.247999999999998
22	37.373	64.698	27.324999999999996
31	37.468	70.65	33.182
20	44.869	70.964	26.095
1	45.32	59.545	14.225000000000001
4	65.39	80.745	15.355000000000004
7	63.03	82.603	19.572999999999993
26	43.158	72.535	29.376999999999995
6	50.056	67.297	17.241
29	47.453	78.623	31.17
13	55.565	77.588	22.022999999999996
5	55.928	71.993	16.064999999999998
19	48.463	74.241	25.778
16	42.244	66.803	24.558999999999997
18	36.319	62.069	25.75
23	36.157	63.785	27.628
33	37.578	75.64	38.062
14	43.436	65.483	22.047000000000004
15	47.752	71.688	23.936
30	39.875	72.777	32.902
8	60.396	79.972	19.575999999999993
2	57.593	72.396	14.802999999999997
24	45.883	74.143	28.259999999999998
10	58.5	78.4	19.900000000000006
9	50.848	70.616	19.768
32	40.412	74.249	33.836999999999996
28	43.16	73.422	30.262
27	32.548	62.698	30.15
